File,Start,Stop,Label,CCA_Label,Best_Freq,Correlation
S01.xdf,3865.655987918097,3870.684076182201,1,1,7.0,0.39818551895993165
S01.xdf,3877.4615656686087,3882.462358332365,2,2,8.0,0.5337844604379887
S01.xdf,3889.066684816565,3894.0691280803426,3,3,9.0,0.4930963811640979
S01.xdf,3900.8731121670876,3905.6762681283244,4,4,11.0,0.41907798660885115
S01.xdf,3912.288225212622,3917.285859776338,5,5,7.5,0.5756075706584068
S01.xdf,3923.8902092605385,3929.0879662268057,6,6,8.5,0.5550860144737908
S01.xdf,3935.691620510997,3940.6957754747964,1,1,7.0,0.41546246429934897
S01.xdf,3947.3046178590544,3952.3041877227947,2,2,8.0,0.503794291612772
S01.xdf,3959.107821109536,3964.1113056733266,3,3,9.0,0.4693800741209827
S01.xdf,3970.714564757513,3975.918091423854,4,4,11.0,0.4358178689846138
S01.xdf,3982.526206108102,3987.5276492718667,5,5,7.5,0.4715588595778385
S01.xdf,3994.130909856053,3999.137830619888,6,6,8.5,0.536691037355197
S01.xdf,4005.73919400405,4010.745660067879,1,1,7.0,0.36884031540425627
S01.xdf,4017.15399824958,4022.3576145159223,2,2,8.0,0.4333010248113889
S01.xdf,4028.9572734000626,4033.9621511638716,3,3,9.0,0.4249329560550917
S01.xdf,4040.7606833505474,4045.7642206143387,4,4,11.0,0.5437262050500824
S01.xdf,4052.3763694986383,4057.3775356623996,5,5,7.5,0.5634403022941015
S01.xdf,4063.97872834656,4068.9806146103297,6,6,8.5,0.41370000612501695
S01.xdf,4075.586029294544,4080.589082658329,1,1,7.0,0.3684858585718703
S01.xdf,4087.1934265425293,4092.1957127063047,2,2,8.0,0.49773563768580625
S01.xdf,4098.999408893046,4104.0024150568315,3,3,9.0,0.44515247274747505
S01.xdf,4110.609969441072,4115.609057004807,4,4,11.0,0.436915123941602
S01.xdf,4122.213006289003,4127.216944652799,5,5,7.5,0.45715612439086095
S01.xdf,4133.836671737195,4138.821105900743,6,6,8.5,0.5159885202639668
S02.xdf,4287.029905769392,4292.036503238572,1,1,7.0,0.37672597257176066
S02.xdf,4298.64086972983,4303.6436985989585,2,2,8.0,0.40597524734201873
S02.xdf,4310.441488092889,4315.250662859341,3,3,9.0,0.3390860843748701
S02.xdf,4322.051789753318,4327.05416792244,4,4,11.0,0.3711533522929665
S02.xdf,4333.658450513697,4338.473204180226,5,5,7.5,0.4620902073909462
S02.xdf,4345.069627571374,4350.26838064321,6,6,8.5,0.41176847965104746
S02.xdf,4356.871565134452,4361.87801140363,1,1,7.0,0.43907483296091254
S02.xdf,4368.4959788950755,4373.492929964123,2,2,8.0,0.42131694009841497
S02.xdf,4380.288758658026,4385.293516727182,3,3,9.0,0.5265345064535807
S02.xdf,4392.094208121152,4397.098326390298,4,4,11.0,0.3561926373167327
S02.xdf,4403.701248181536,4408.714505650808,5,5,7.5,0.5185705746445309
S02.xdf,4415.313468241992,4420.312727511071,6,6,8.5,0.4163654995239641
S02.xdf,4427.1138475050475,4432.120909674234,1,1,7.0,0.3767884673302399
S02.xdf,4438.720410265425,4443.734366234707,2,2,8.0,0.40981982264480277
S02.xdf,4450.331796425869,4455.335459395009,3,3,9.0,0.41648546739484404
S02.xdf,4461.939634686265,4466.943111755401,4,4,11.0,0.3942786449305571
S02.xdf,4473.554547246757,4478.5527475158215,5,5,7.5,0.5653402859342772
S02.xdf,4485.153827107034,4490.1578840761795,6,6,8.5,0.5973447784766618
S02.xdf,4496.765159567477,4501.7640899365515,1,1,7.0,0.39862930450572176
S02.xdf,4508.371717227855,4513.383005297101,2,2,8.0,0.412996792574643
S02.xdf,4519.9824624882895,4525.183362960155,3,3,9.0,0.4642834278164252
S02.xdf,4531.7866302513985,4536.598259317884,4,4,11.0,0.452298525294536
S02.xdf,4543.202089409135,4548.204038478251,5,5,7.5,0.463732416511077
S02.xdf,4554.806134669478,4559.810983538634,6,6,8.5,0.4481793247753537
S03.xdf,352990.1256871451,352995.1264856328,1,1,7.0,0.32944760013750995
S03.xdf,353001.73240381666,353006.7154166045,2,2,8.0,0.3968171114892716
S03.xdf,353013.5077578878,353018.51891787554,3,3,9.0,0.35447086124710697
S03.xdf,353025.1074787594,353030.1007041472,4,4,11.0,0.35777709515654416
S03.xdf,353036.89629473054,353041.71822441876,5,5,7.5,0.583010537494347
S03.xdf,353048.29094030266,353053.2876406904,6,6,8.5,0.4381270094479137
S03.xdf,353060.09099037375,353065.07948666153,1,1,7.0,0.4592967558362854
S03.xdf,353071.6761689454,353076.6938036331,2,2,8.0,0.5083144977576567
S03.xdf,353083.270533017,353088.30451000464,3,3,9.0,0.4844619932081412
S03.xdf,353094.86743588856,353100.0661860759,4,4,11.0,0.3952910225075728
S03.xdf,353106.6596829597,353111.46185074793,5,5,7.5,0.5793665897284191
S03.xdf,353118.2601567313,353123.0552792196,6,6,8.5,0.4954480134831489
S03.xdf,353129.6556560034,353134.8485047907,1,1,7.0,0.541635092413644
S03.xdf,353141.4512239745,353146.44733236235,2,2,8.0,0.5291610767833921
S03.xdf,353153.04727164615,353158.0410981339,3,3,9.0,0.34787042663103057
S03.xdf,353164.85561581724,353169.66641980543,4,4,11.0,0.3570863062489084
S03.xdf,353176.43506748887,353181.4402925766,5,5,7.5,0.4915600696300797
S03.xdf,353188.0358588605,353193.0354947482,6,6,8.5,0.48156367924458726
S03.xdf,353199.63059313205,353204.63304061984,1,1,7.0,0.5196562460724302
S03.xdf,353211.23823430366,353216.2253667914,2,2,8.0,0.513399487477458
S03.xdf,353222.8230961753,353227.83520536305,3,3,9.0,0.43931896870572434
S03.xdf,353234.4248998469,353239.4209392346,4,4,11.0,0.4714917872326099
S03.xdf,353246.0221755185,353251.0251167062,5,5,7.5,0.5161380746835944
S03.xdf,353257.8272850896,353262.81629637734,6,6,8.5,0.4544549598412496
S04.xdf,353795.3347245578,353800.330060673,1,1,7.0,0.3416021593761199
S04.xdf,353806.94956259313,353811.9310740083,2,2,8.0,0.4457183715534061
S04.xdf,353818.53164292837,353823.53384844353,3,3,9.0,0.4495039058632522
S04.xdf,353830.13617376366,353835.1347310788,4,4,11.0,0.371903577844151
S04.xdf,353841.94311149954,353846.9484724148,5,5,7.5,0.4717587594407328
S04.xdf,353853.7395054354,353858.53728775,6,6,8.5,0.4859129429393577
S04.xdf,353865.1399432701,353870.1373045853,1,1,7.0,0.3625598906688998
S04.xdf,353876.94462420593,353881.94125082117,2,2,8.0,0.4360834104315616
S04.xdf,353888.55442014127,353893.54081085644,3,3,9.0,0.4645375862746267
S04.xdf,353900.1436880765,353905.3792107924,4,4,11.0,0.3041704912983424
S04.xdf,353911.9432422124,353916.9458002276,5,5,7.5,0.49800127110016024
S04.xdf,353923.5474967477,353928.5601673629,6,6,8.5,0.44810361778568697
S04.xdf,353935.3559308836,353940.35262369877,1,1,7.0,0.4178287568766502
S04.xdf,353946.95292721887,353951.95427273406,2,2,8.0,0.5210999648101601
S04.xdf,353958.56215575413,353963.66237676964,3,3,9.0,0.4152116567595954
S04.xdf,353970.36476399004,353975.3609941053,4,4,11.0,0.4894543404210345
S04.xdf,353982.0451818256,353986.7695031399,5,5,7.5,0.4640196407555114
S04.xdf,353993.5790752606,353998.3705940752,6,6,8.5,0.5294628638118596
S04.xdf,354005.1704001959,354010.17156271107,1,1,7.0,0.3507344201417898
S04.xdf,354016.7753996312,354021.77932674636,2,2,8.0,0.49023445114305275
S04.xdf,354028.3955840665,354033.3814127816,3,3,9.0,0.4977979550866594
S04.xdf,354039.9814056017,354044.985121117,4,4,11.0,0.4274932684775448
S04.xdf,354051.586652437,354056.59156055225,5,5,7.5,0.48743457031714826
S04.xdf,354063.1900290723,354068.1915280875,6,6,8.5,0.4870607240314
S05.xdf,355426.62950917555,355431.5990365707,1,1,7.0,0.3033137965674997
S05.xdf,355438.40632196417,355443.39818285935,2,2,8.0,0.5438485116796034
S05.xdf,355450.00253065303,355455.0977749481,3,3,9.0,0.5729427198763205
S05.xdf,355461.81657064165,355466.81939373683,4,4,11.0,0.4125895443360879
S05.xdf,355473.4154840305,355478.41562522564,5,5,7.5,0.4816692596358329
S05.xdf,355485.21519631916,355490.2182617143,6,6,8.5,0.39941805855205564
S05.xdf,355496.82452090795,355501.82864550315,1,1,7.0,0.2911091750739297
S05.xdf,355508.4338351968,355513.430285692,2,2,8.0,0.35186340522462367
S05.xdf,355520.23562028544,355525.2347062806,3,3,9.0,0.22769177222152706
S05.xdf,355531.84923737426,355536.8401254695,4,4,11.0,0.35024732533268116
S05.xdf,355543.4430424631,355548.4503297583,5,5,7.5,0.27854380042057114
S05.xdf,355555.047089652,355560.05302854715,6,6,8.5,0.2981034896860709
S05.xdf,355566.6725803407,355571.65769843594,1,1,7.0,0.25575173817843305
S05.xdf,355578.26045102964,355583.26574992476,2,2,8.0,0.39860832698487336
S05.xdf,355589.6643276186,355594.8641497136,3,3,9.0,0.36468974224222583
S05.xdf,355601.47693900723,355606.47745030245,4,4,11.0,0.42107499682614935
S05.xdf,355613.07513039606,355618.0772553913,5,5,7.5,0.3566665566298387
S05.xdf,355624.48182678514,355629.68273488013,6,6,8.5,0.36946626920482206
S05.xdf,355636.29604257375,355641.29015336896,1,1,7.0,0.26034169723999956
S05.xdf,355647.8915443626,355652.89409115777,2,2,8.0,0.38424011336966585
S05.xdf,355659.6998599512,355664.7111071464,3,5,7.5,0.2704447014948039
S05.xdf,355671.3046766401,355676.30808393523,4,4,11.0,0.2860870180843812
S05.xdf,355683.1090017287,355687.91152042407,5,5,7.5,0.33343381019017765
S05.xdf,355694.79720201745,355699.7165746127,6,6,8.5,0.2928722227543517
S06.xdf,358325.16908678564,358330.1001626489,1,1,7.0,0.48679786655126966
S06.xdf,358336.9020667742,358341.8925182395,2,2,8.0,0.5282434205420923
S06.xdf,358348.5071747586,358353.68176552997,3,3,9.0,0.5202512187540046
S06.xdf,358360.28237704857,358365.2877362144,4,4,11.0,0.5029577875179346
S06.xdf,358371.8854109329,358376.9129219994,5,5,7.5,0.5437781690767444
S06.xdf,358383.65910672286,358388.6642242886,6,6,8.5,0.4334049809736613
S06.xdf,358395.288600308,358400.2497956723,1,1,7.0,0.3925291068992242
